"","number","contractName","name","address","banking","bonus","status","lastUpdate","connected","overflow","shape","position.latitude","position.longitude","totalStands.capacity","totalStands.availabilities.bikes","totalStands.availabilities.stands","totalStands.availabilities.mechanicalBikes","totalStands.availabilities.electricalBikes","totalStands.availabilities.electricalInternalBatteryBikes","totalStands.availabilities.electricalRemovableBatteryBikes","mainStands.capacity","mainStands.availabilities.bikes","mainStands.availabilities.stands","mainStands.availabilities.mechanicalBikes","mainStands.availabilities.electricalBikes","mainStands.availabilities.electricalInternalBatteryBikes","mainStands.availabilities.electricalRemovableBatteryBikes","overflowStands.capacity","overflowStands.availabilities.bikes","overflowStands.availabilities.stands","overflowStands.availabilities.mechanicalBikes","overflowStands.availabilities.electricalBikes","overflowStands.availabilities.electricalInternalBatteryBikes","overflowStands.availabilities.electricalRemovableBatteryBikes","region"
"102",3058,"lyon","3058 - PLACE DU LAC","Face à la poste",FALSE,FALSE,"OPEN","2023-10-06T11:45:56Z",TRUE,FALSE,NA,45.758974,4.853599,19,14,5,6,8,0,8,19,14,5,6,8,0,8,NA,NA,NA,NA,NA,NA,NA," 69003"
"103",6045,"lyon","6045 - BROTTEAUX / VAUBAN","44 BVD DES BROTTEAUX",TRUE,FALSE,"OPEN","2023-10-06T11:47:43Z",TRUE,FALSE,NA,45.766284,4.856848,15,11,4,3,8,0,8,15,11,4,3,8,0,8,NA,NA,NA,NA,NA,NA,NA,"69008"
"104",5047,"lyon","5047 - ALBÉRIC PONT","2B RUE DR. ALBERIC PONT",FALSE,FALSE,"OPEN","2023-10-06T11:40:30Z",TRUE,FALSE,NA,45.753452,4.804401,16,6,10,6,0,0,0,16,6,10,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,"69100"
"105",8053,"lyon","8053 - LUMIERE / TROUILHET","6 RUE ANTOINE LUMIERE",FALSE,FALSE,"OPEN","2023-10-06T11:49:57Z",TRUE,FALSE,NA,45.743569,4.870083,16,1,12,3,0,0,0,16,1,12,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,"69001"
"106",9008,"lyon","9008 - L'ILE BARBE","3 QUAI PAUL SEDAILLAN",TRUE,FALSE,"OPEN","2023-10-06T11:47:37Z",TRUE,FALSE,NA,45.797415,4.829038,16,12,4,10,2,0,2,16,12,4,10,2,0,2,NA,NA,NA,NA,NA,NA,NA," 69009"
"107",9046,"lyon","9046 - MANGINI","",TRUE,FALSE,"OPEN","2023-10-06T11:45:21Z",TRUE,FALSE,NA,45.790414,4.816359,24,7,17,2,5,0,5,24,7,17,2,5,0,5,NA,NA,NA,NA,NA,NA,NA,"69006"
"108",4042,"lyon","4042 - GREGORY COUPET","94 RUE PHILIPPE DE LASALLE",FALSE,TRUE,"OPEN","2023-10-06T11:47:30Z",TRUE,FALSE,NA,45.781699,4.820596,16,1,15,1,0,0,0,16,1,15,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"69100"
"109",10053,"lyon","10053 - ROSSELINI / 11 NOVEMBRE","Bd du 11 novembre angle av. Claude Bernard",FALSE,FALSE,"OPEN","2023-10-06T11:48:47Z",TRUE,FALSE,NA,45.77939,4.863068,30,22,8,9,13,0,13,30,22,8,9,13,0,13,NA,NA,NA,NA,NA,NA,NA," 69100"
"110",6039,"lyon","6039 - GARIBALDI / BUGEAUD","",TRUE,FALSE,"OPEN","2023-10-06T11:46:29Z",TRUE,FALSE,NA,45.766708,4.852073,20,5,15,2,3,0,3,20,5,15,2,3,0,3,NA,NA,NA,NA,NA,NA,NA,"69007"
"111",10110,"lyon","10110 - MÉMOIRE ET SOCIÉTÉ","20 RUE VALENTIN HAUY (VILLEURBANNE)",FALSE,FALSE,"OPEN","2023-10-06T11:48:19Z",TRUE,FALSE,NA,45.75958,4.882739,24,2,22,2,0,0,0,24,2,22,2,0,0,0,NA,NA,NA,NA,NA,NA,NA," 69100"
"112",6021,"lyon","6021 - GARIBALDI","Entre rue Crillon et rue Sully",FALSE,FALSE,"OPEN","2023-10-06T11:49:13Z",TRUE,FALSE,NA,45.770664,4.849946,11,5,6,3,2,0,2,11,5,6,3,2,0,2,NA,NA,NA,NA,NA,NA,NA,"69009"
"113",5053,"lyon","5053 - SAINT-JUST","1 PLACE DE L'ABBE LARUE",FALSE,TRUE,"OPEN","2023-10-06T11:42:34Z",TRUE,FALSE,NA,45.75597,4.818904,18,0,18,0,0,0,0,18,0,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"69001"
"114",8058,"lyon","8058 - LONGEFER / KRUGER","10 RUE PDT P. KRUGER",FALSE,FALSE,"OPEN","2023-10-06T11:49:52Z",TRUE,FALSE,NA,45.738671,4.878117,16,8,8,5,3,0,3,16,8,8,5,3,0,3,NA,NA,NA,NA,NA,NA,NA,"69006"
"115",2037,"lyon","2037 - PLACE DES ARCHIVES","12 COURS CHARLEMAGNE",TRUE,FALSE,"OPEN","2023-10-06T11:47:08Z",TRUE,FALSE,NA,45.747956,4.824898,40,12,28,7,5,0,5,40,12,28,7,5,0,5,NA,NA,NA,NA,NA,NA,NA,"69003"
"116",14004,"lyon","14004 - BRON - MAIRIE","",TRUE,FALSE,"OPEN","2023-10-06T11:43:59Z",TRUE,FALSE,NA,45.73403,4.908777,23,7,16,4,3,0,3,23,7,16,4,3,0,3,NA,NA,NA,NA,NA,NA,NA," 69500"
